Cluster Index	Z	x	y	z	
6	7.81	-52	-16	-2
6	7.4	-58	-10	-6
6	7.31	-40	-32	8
6	7.18	-48	-20	0
6	6.77	-44	-28	6
6	6.76	-62	-22	2
5	7.65	66	-22	2
5	7.04	64	-22	-8
5	7.02	60	-24	0
5	6.99	52	4	-16
5	6.85	62	-4	-10
5	6.77	64	-12	-6
4	5.33	28	-66	-28
4	4.68	-32	-68	-30
4	4.43	24	-70	-50
4	4.31	22	-78	-46
4	4.27	-26	-66	-28
4	4.19	-22	-80	-44
3	3.86	0	40	40
3	3.81	-2	26	52
3	3.66	6	0	60
3	3.58	4	22	40
3	3.4	8	28	36
3	3.38	-8	38	32
2	4.63	60	-6	42
2	4.21	56	-2	46
2	3.49	54	12	44
2	3.36	58	12	40
2	3.08	62	-8	30
2	2.75	44	4	54
1	4.21	-50	-48	46
1	3.5	-58	-44	44
1	3.4	-48	-46	40
1	3.35	-48	-50	56
1	3.26	-48	-52	40
1	3.1	-48	-46	62
