Cluster Index	Z	x	y	z	
7	6.86	-50	-18	0
7	6.69	-58	-12	-6
7	6.41	-62	-24	-6
7	6.28	-40	-34	10
7	6.04	-40	-28	4
7	5.79	-52	-32	6
6	6.4	56	-16	-6
6	6.23	52	-14	-8
6	6.16	58	0	-10
6	6.08	64	-6	-8
6	6.07	64	-20	-4
6	5.99	62	4	-8
5	4.46	22	-78	-52
5	4.41	18	-86	-42
5	4.21	-32	-66	-32
5	4.18	22	-78	-46
5	4	30	-62	-28
5	3.7	-20	-72	-34
4	3.89	8	4	56
4	3.7	10	6	46
4	3.65	-6	2	62
4	3.6	-2	14	56
4	3.57	6	28	48
4	3.42	6	24	50
3	4.03	28	-2	0
3	3.88	16	-2	12
3	3.77	30	-8	6
3	3.23	26	-6	14
3	3.12	14	-10	12
3	3.07	4	2	8
2	4	8	-92	-20
2	3.89	-10	-98	-18
2	3.85	-16	-96	-16
2	3.82	14	-96	-4
2	3.78	-30	-100	-8
2	3.69	6	-96	18
1	4.02	24	-14	-26
1	3.99	26	-18	-34
1	3.8	24	-12	-22
1	3.59	14	-34	-4
1	3.42	16	-28	-12
1	3.21	10	-32	-6
