Cluster Index	Z	x	y	z	
3	7.92	-52	-16	-2
3	7.13	-38	-34	8
3	6.99	-58	-10	-6
3	6.95	-52	-10	-10
3	6.85	-56	-8	-10
3	6.64	-62	-22	2
2	7.36	64	-22	2
2	7.26	60	-24	0
2	7.08	70	-26	0
2	6.96	60	-26	-4
2	6.94	64	-14	-8
2	6.91	64	-24	-6
1	5.88	28	-64	-28
1	5.14	-18	-82	-42
1	4.99	22	-82	-46
1	4.87	12	-84	-46
1	4.7	-18	-68	-24
1	4.58	-10	-80	-34
