Cluster Index	Z	x	y	z	
3	7.94	6	-56	54
3	6.88	-4	-58	62
3	5.88	-34	-48	-4
3	5.64	-10	-76	54
3	5.64	-34	-46	-14
3	5.15	36	-46	-2
2	5.21	42	-76	24
2	5.02	46	-76	28
2	4.74	52	-72	20
2	4.46	58	-66	2
2	4.13	42	-82	10
2	4.07	50	-70	14
1	4.03	10	52	-6
1	3.76	0	74	0
1	3.69	10	68	-14
1	3.59	4	76	-4
1	3.4	16	70	-18
1	3.32	24	56	2
