Cluster Index	Z	x	y	z	
4	5.08	6	-56	26
4	4.87	-18	-60	20
4	4.43	4	-58	34
4	4.24	14	-56	26
4	4.22	14	-62	26
4	4.21	10	-54	32
3	4.29	-36	-44	-6
3	4.14	-36	-38	-10
3	4.06	-32	-52	6
3	3.81	-34	-60	4
3	3.66	-30	-40	2
3	3.33	-34	-42	-18
2	3.63	38	-42	-8
2	3.38	18	-50	-16
2	3.3	36	-40	-4
2	3.06	36	-52	0
2	2.97	34	-48	-10
2	2.95	32	-40	-20
1	4.3	-4	62	2
1	3.23	4	56	28
1	3.18	0	56	10
1	3.15	6	64	14
1	3.08	2	58	14
1	3.06	-10	48	6
