Cluster Index	Z	x	y	z	
3	38.4	-58	-18	0
3	35.8	66	-18	0
3	35.6	62	-10	-2
3	33	-60	-8	-4
3	31	64	-28	-2
3	27.7	-40	-34	10
2	8.64	4	2	60
2	4.94	-2	-38	74
2	4.39	-2	-26	68
2	4.28	-6	-24	68
2	4.23	12	22	44
2	3.87	4	14	44
1	4.68	-2	50	28
1	4.06	10	68	18
1	3.94	0	64	24
1	3.78	8	46	32
1	3.65	-4	54	22
1	3.57	-8	56	38
