Cluster Index	Z	x	y	z	
4	6.78	-50	-18	0
4	6.71	-46	-14	-10
4	6.52	-38	-32	10
4	6.33	-58	-10	-8
4	6.26	-38	-28	4
4	6.02	-46	-30	4
3	6.38	60	14	-14
3	6.27	58	-16	-6
3	6.26	48	-24	4
3	6.17	56	-26	-4
3	6.16	64	-20	-4
3	6.08	56	-2	-12
2	3.98	-50	8	18
2	3.77	-62	20	16
2	3.71	-60	16	26
2	3.7	-64	18	12
2	3.69	-44	-14	56
2	3.65	-52	14	28
1	4.09	8	4	56
1	3.77	6	-2	62
1	3.73	8	12	54
1	3.61	12	34	52
1	3.56	12	38	54
1	3.44	8	36	56
